Entity,Code,Year,Hydro
Africa (EI),,2019,6.0311646
Africa (EI),,2020,6.757244
Africa (EI),,2021,6.555725
Africa (EI),,2022,6.712741
Africa (EI),,2023,6.771503
Africa (EI),,2024,6.789574
Algeria,DZA,1965,4.48735
Algeria,DZA,1966,3.312554
Algeria,DZA,1967,4.04235
Algeria,DZA,1968,5.170891
Algeria,DZA,1969,2.995647
Algeria,DZA,1970,4.3953433
Algeria,DZA,1971,2.3105145
Algeria,DZA,1972,3.0857866
Algeria,DZA,1973,3.9326987
Algeria,DZA,1974,2.3470907
Algeria,DZA,1975,1.2958319
